product_link,product_name
https://www.paspaley.com/pearl-collections/thin-leather-cascade-taupe,Thin Leather Cascade - Taupe
https://www.paspaley.com/pearl-collections/megisti-pink-opal-earrings,MEGISTI PINK OPAL EARRINGS
https://www.paspaley.com/jewellery/megisti-bracelet-white-gold,MEGISTI BRACELET - WHITE GOLD
https://www.paspaley.com/jewellery/megisti-bracelet-yellow-gold,MEGISTI BRACELET - YELLOW GOLD
https://www.paspaley.com/jewellery/megisti-lapis-bracelet,MEGISTI LAPIS BRACELET
https://www.paspaley.com/jewellery/megisti-pink-opal-bracelet,MEGISTI PINK OPAL BRACELET
https://www.paspaley.com/pearl-collections/megisti-lapis-hoop-earrings,MEGISTI LAPIS HOOP EARRINGS
https://www.paspaley.com/pearl-collections/megisti-turquoise-hoop-earrings,MEGISTI TURQUOISE HOOP EARRINGS
https://www.paspaley.com/pearl-collections/megisti-lapis-clasp,MEGISTI LAPIS CLASP
https://www.paspaley.com/pearl-collections/megisti-necklet-yellow-gold,MEGISTI NECKLET - YELLOW GOLD
https://www.paspaley.com/pearl-collections/megisti-lapis-collier,MEGISTI LAPIS COLLIER
https://www.paspaley.com/pearl-collections/megisti-lapis-sautoir,MEGISTI LAPIS SAUTOIR
https://www.paspaley.com/pearl-collections/megisti-necklet-white-gold,MEGISTI NECKLET - WHITE GOLD
https://www.paspaley.com/pearl-collections/megisti-pink-opal-collier,MEGISTI PINK OPAL COLLIER
https://www.paspaley.com/pearl-collections/megisti-turquoise--earrings,MEGISTI TURQUOISE  EARRINGS
https://www.paspaley.com/pearl-collections/megisti-lapis-earrings,MEGISTI LAPIS EARRINGS
https://www.paspaley.com/pearl-collections/megisti-pearl-earrings-yellow-gold,MEGISTI PEARL EARRINGS - YELLOW GOLD
https://www.paspaley.com/jewellery/megisti-rockfall-bracelet-yellow-gold,MEGISTI ROCKFALL BRACELET - YELLOW GOLD
https://www.paspaley.com/pearl-collections/megisti-necklace-yellow-gold,MEGISTI NECKLACE - YELLOW GOLD
https://www.paspaley.com/pearl-collections/megisti-lapis-ring,MEGISTI LAPIS RING
https://www.paspaley.com/pearl-collections/megisti-turquoise-ring,MEGISTI TURQUOISE RING
https://www.paspaley.com/pearl-collections/megisti-turquoise-cocktail-ring,MEGISTI TURQUOISE COCKTAIL RING
https://www.paspaley.com/pearl-collections/megisti-pink-opal-ring,MEGISTI PINK OPAL RING
https://www.paspaley.com/pearl-collections/round-pearl-strand-bracelet,Round Pearl Strand Bracelet
https://www.paspaley.com/pearl-collections/round-pearl-strand-necklace,Round Pearl Strand Necklace
https://www.paspaley.com/pearl-collections/rhapsody-keshi-and-circle-strand-necklace,Rhapsody Keshi and Circle Strand Necklace
https://www.paspaley.com/pearl-collections/petite-circle-pearl-strand,Petite Circle Pearl Strand
https://www.paspaley.com/pearl-collections/strand-bracelet-circlé,Strand Bracelet - Circlé
https://www.paspaley.com/pearl-collections/circlé-strand-bracelet,Circlé - Strand Bracelet
https://www.paspaley.com/pearl-collections/oval-bianca-pendant-white-gold,Oval Bianca Pendant - White Gold
https://www.paspaley.com/pearl-collections/oval-bianca-pendant-yellow-gold,Oval Bianca Pendant - Yellow Gold
https://www.paspaley.com/pearl-collections/oval-bianca-pendant-14mm-white-gold,Oval Bianca Pendant 14mm - White Gold
https://www.paspaley.com/pearl-collections/oval-bianca-pendant-14mm-yellow-gold,Oval Bianca Pendant 14mm - Yellow Gold
https://www.paspaley.com/pearl-collections/oval-audrey-pendant-15mm-white-gold,Oval Audrey Pendant 15mm - White Gold
https://www.paspaley.com/pearl-collections/round-audrey-pendant-white-gold,Round Audrey Pendant - White Gold
https://www.paspaley.com/pearl-collections/oval-audrey-pendant-15mm-yellow-gold,Oval Audrey Pendant 15mm - Yellow Gold
https://www.paspaley.com/pearl-collections/round-audrey-pendant-yellow-gold,Round Audrey Pendant - Yellow Gold
https://www.paspaley.com/pearl-collections/drop-lucette-pendant-white-gold,Drop Lucette Pendant - White Gold
https://www.paspaley.com/pearl-collections/circle-lucette-pendant-yellow-gold,Circle Lucette Pendant - Yellow Gold
https://www.paspaley.com/pearl-collections/drop-lucette-pendant-yellow-gold,Drop Lucette Pendant - Yellow Gold
https://www.paspaley.com/pearl-collections/circle-celeste-pendant-white-gold,Circle Celeste Pendant - White Gold
https://www.paspaley.com/pearl-collections/oval-celeste-pendant-white-gold,Oval Celeste Pendant - White Gold
https://www.paspaley.com/pearl-collections/circle-celeste-pendant-yellow-gold,Circle Celeste Pendant - Yellow Gold
https://www.paspaley.com/pearl-collections/oval-celeste-pendant-yellow-gold,Oval Celeste Pendant - Yellow Gold
https://www.paspaley.com/jewellery/starry-night-earrings-white-gold,Starry Night Earrings - White Gold
https://www.paspaley.com/jewellery/starry-night-earrings-yellow-gold,Starry Night Earrings - Yellow Gold
https://www.paspaley.com/pearl-collections/unique-chandelier-earrings,Unique Chandelier Earrings
https://www.paspaley.com/jewellery/kimberley-dark-bracelet-–-circle-pearl,Kimberley Dark Bracelet – Circle Pearl
https://www.paspaley.com/jewellery/kimberley-dark-bracelet-–-double-circle-pearl,Kimberley Dark Bracelet – Double Circle Pearl
https://www.paspaley.com/pearl-collections/megisti-pink-opal-cocktail-ring,Megisti Pink Opal Cocktail Ring
https://www.paspaley.com/jewellery/lavalier-petite-sapphire-white-gold,Lavalier Petite Sapphire - White Gold
https://www.paspaley.com/jewellery/lavalier-opal-hero-white-gold,Lavalier Opal Hero - White Gold
https://www.paspaley.com/jewellery/lavalier-blue-sapphire-white-gold,Lavalier Blue Sapphire - White Gold
https://www.paspaley.com/jewellery/lavalier-ruby-yellow-gold,Lavalier Ruby - Yellow Gold
https://www.paspaley.com/jewellery/lavalier-blue-sapphire-earrings-white-gold,Lavalier Blue Sapphire Earrings - White Gold
https://www.paspaley.com/jewellery/lavalier-ruby-earrings-yellow-gold,Lavalier Ruby Earrings - Yellow Gold
https://www.paspaley.com/jewellery/touchstone-pearl-bracelet-white-gold,Touchstone Pearl Bracelet - White Gold
https://www.paspaley.com/pearl-collections/rhapsody-choker,Rhapsody Choker
https://www.paspaley.com/pearl-collections/rhapsody-rope-90cm,Rhapsody Rope 90cm
https://www.paspaley.com/pearl-collections/rhapsody-rope-130cm,Rhapsody Rope 130cm
https://www.paspaley.com/pearl-collections/kimberley-earring-enhancer-yellow-gold,Kimberley Earring Enhancer - Yellow Gold
https://www.paspaley.com/jewellery/keshi-chain-bracelet-white-gold,Keshi Chain Bracelet - White Gold
https://www.paspaley.com/jewellery/keshi-chain-bracelet-yellow-gold,Keshi Chain Bracelet - Yellow Gold
https://www.paspaley.com/jewellery/kimberley-strand,Kimberley Strand
https://www.paspaley.com/pearl-collections/keshi-rope-stack-ring-yellow-gold,Keshi Rope Stack Ring - Yellow Gold
https://www.paspaley.com/pearl-collections/keshi-rope-ring-yellow-gold,Keshi Rope Ring - Yellow Gold
https://www.paspaley.com/pearl-collections/rope-ring-yellow-gold,Rope Ring - Yellow Gold
https://www.paspaley.com/pearl-collections/rope-tassel-ring-yellow-gold,Rope Tassel Ring - Yellow Gold
https://www.paspaley.com/jewellery/lavalier-hero-blue-sapphire,Lavalier Hero - Blue Sapphire
https://www.paspaley.com/jewellery/lavalier-hero-rhodolite,Lavalier Hero - Rhodolite
https://www.paspaley.com/jewellery/kimberley-light-bracelet-petite-circle-pearl,Kimberley Light Bracelet - Petite Circle Pearl
https://www.paspaley.com/pearl-collections/dew-drop-earrings-white-gold,Dew Drop Earrings - White Gold
https://www.paspaley.com/pearl-collections/delfini-strand-rope,Delfini Strand Rope
https://www.paspaley.com/jewellery/pearls-my-way-ruby-yellow-gold,PEARLS MY WAY RUBY - YELLOW GOLD
https://www.paspaley.com/jewellery/coral-red-silk-bracelet-round,Coral Red Silk Bracelet - Round
https://www.paspaley.com/jewellery/wetsuit-black-silk-bracelet-circle,Wetsuit Black Silk Bracelet - Circle
https://www.paspaley.com/jewellery/wetsuit-black-silk-bracelet-semi-round,Wetsuit Black Silk Bracelet - Semi Round
https://www.paspaley.com/jewellery/night-sky-silk-bracelet-circle,Night Sky Silk Bracelet - Circle
https://www.paspaley.com/jewellery/night-sky-silk-bracelet-semi-round,Night Sky Silk Bracelet - Semi Round
https://www.paspaley.com/jewellery/sea-blue-silk-bracelet-circle,Sea Blue Silk Bracelet - Circle
https://www.paspaley.com/jewellery/sea-blue-silk-bracelet-semi-round,Sea Blue Silk Bracelet - Semi Round
