link,text,category,product
https://www.paspaley.com/jewellery/pearl-necklaces/megisti-necklet-yellow-gold,MEGISTI NECKLET - YELLOW GOLD,necklaces,megisti-necklet-yellow-gold
https://www.paspaley.com/jewellery/pearl-necklaces/megisti-lapis-sautoir,MEGISTI LAPIS SAUTOIR,necklaces,megisti-lapis-sautoir
https://www.paspaley.com/jewellery/pearl-necklaces/megisti-necklace-yellow-gold,MEGISTI NECKLACE - YELLOW GOLD,necklaces,megisti-necklace-yellow-gold
https://www.paspaley.com/jewellery/pearl-necklaces/touchstone-sapphire-necklace-yellow-gold,"Touchstone Sapphire 
Necklace - Yellow Gold",necklaces,touchstone-sapphire-necklace-yellow-gold
https://www.paspaley.com/jewellery/pearl-necklaces/megisti-lapis-collier,MEGISTI LAPIS COLLIER,necklaces,megisti-lapis-collier
https://www.paspaley.com/jewellery/pearl-necklaces/touchstone-diamond-tassle-yellow-gold,Touchstone Diamond Tassle - Yellow Gold,necklaces,touchstone-diamond-tassle-yellow-gold
https://www.paspaley.com/jewellery/pearl-necklaces/megisti-necklet-white-gold,MEGISTI NECKLET - WHITE GOLD,necklaces,megisti-necklet-white-gold
https://www.paspaley.com/jewellery/pearl-necklaces/touchstone-sapphire-necklace-white-gold,"Touchstone Sapphire 
Necklace - White Gold",necklaces,touchstone-sapphire-necklace-white-gold
https://www.paspaley.com/jewellery/pearl-necklaces/megisti-long-lapis-necklace,MEGISTI LONG LAPIS NECKLACE,necklaces,megisti-long-lapis-necklace
https://www.paspaley.com/jewellery/pearl-necklaces/megisti-pink-opal-collier,MEGISTI PINK OPAL COLLIER,necklaces,megisti-pink-opal-collier
https://www.paspaley.com/jewellery/pearl-necklaces/touchstone-long-blue-sapphire-necklace-white-gold,"Touchstone Long Blue 
Sapphire Necklace - White Gold",necklaces,touchstone-long-blue-sapphire-necklace-white-gold
https://www.paspaley.com/jewellery/pearl-necklaces/touchstone-pink-sapphire-necklace-yellow-gold,"Touchstone Pink Sapphire 
Necklace - Yellow Gold",necklaces,touchstone-pink-sapphire-necklace-yellow-gold
https://www.paspaley.com/jewellery/pearl-necklaces/boronia-pendant,Boronia Pendant,necklaces,boronia-pendant
https://www.paspaley.com/jewellery/pearl-necklaces/lavalier-noir-diamond-hero-white-gold,Lavalier Noir Diamond Hero - White Gold,necklaces,lavalier-noir-diamond-hero-white-gold
https://www.paspaley.com/jewellery/pearl-necklaces/lavalier-noir-black-opal,Lavalier Noir - Black Opal,necklaces,lavalier-noir-black-opal
https://www.paspaley.com/jewellery/pearl-necklaces/lavalier-noir-rose-gold,Lavalier Noir - Rose Gold,necklaces,lavalier-noir-rose-gold
https://www.paspaley.com/jewellery/pearl-necklaces/maxima-rope-necklace-white-gold,Maxima Rope Necklace - White Gold,necklaces,maxima-rope-necklace-white-gold
https://www.paspaley.com/jewellery/pearl-necklaces/maxima-necklet-white-gold,Maxima Necklet - White Gold,necklaces,maxima-necklet-white-gold
