link,text,category,product,year
https://www.paspaley.com/jewellery/pearl-clasps/rockpool-pave-clasp-yellow-gold,Rockpool Pave Clasp - Yellow Gold,clasps,rockpool-pave-clasp-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-clasps/rockpool-pave-clasp-white-gold,Rockpool Pave Clasp - White Gold,clasps,rockpool-pave-clasp-white-gold,2021
https://www.paspaley.com/jewellery/pearl-clasps/maxima-clasp-white-gold,Maxima Clasp - White Gold,clasps,maxima-clasp-white-gold,2021
https://www.paspaley.com/jewellery/pearl-clasps/maxima-clasp-yellow-gold,Maxima Clasp - Yellow Gold,clasps,maxima-clasp-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-clasps/touchstone-diamond-clasp-yellow-gold,Touchstone Diamond Clasp - Yellow Gold,clasps,touchstone-diamond-clasp-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-clasps/touchstone-black-diamond-clasp-white-gold,Touchstone Black Diamond Clasp - White Gold,clasps,touchstone-black-diamond-clasp-white-gold,2021
https://www.paspaley.com/jewellery/pearl-clasps/touchstone-ruby-clasp-yellow-gold,Touchstone Ruby Clasp - Yellow Gold,clasps,touchstone-ruby-clasp-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/dive-tassel-earrings-yellow-gold,Dive Tassel Earrings - Yellow Gold,earrings,dive-tassel-earrings-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/dive-pearl-drop-earrings-yellow-gold,Dive Pearl Drop Earrings - Yellow Gold,earrings,dive-pearl-drop-earrings-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/dive-coin-charm-diamond-earrings-yellow-gold,Dive Coin Charm Diamond Earrings - Yellow Gold,earrings,dive-coin-charm-diamond-earrings-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/dive-coin-charm-diamond-earrings-white-gold,Dive Coin Charm Diamond Earrings - White Gold,earrings,dive-coin-charm-diamond-earrings-white-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/dive-coin-charm-earrings-yellow-gold,Dive Coin Charm Earrings - Yellow Gold,earrings,dive-coin-charm-earrings-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/dive-coin-charm-earrings-white-gold,Dive Coin Charm Earrings - White Gold,earrings,dive-coin-charm-earrings-white-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/pearls-my-way-diamond-earrings-12mm-oval-rose-gold,PEARLS MY WAY DIAMOND EARRINGS 12MM OVAL - ROSE GOLD,earrings,pearls-my-way-diamond-earrings-12mm-oval-rose-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/pearls-my-way-10mm-circle-earrings-rose-gold,PEARLS MY WAY 10MM CIRCLE EARRINGS - ROSE GOLD,earrings,pearls-my-way-10mm-circle-earrings-rose-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/lavalier-earrings-circle-rose-gold,Lavalier Earrings Circle - Rose Gold,earrings,lavalier-earrings-circle-rose-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/lavalier-diamond-earrings-circle--white-gold,Lavalier Diamond Earrings Circle- White Gold,earrings,lavalier-diamond-earrings-circle--white-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/diamond-touchstone-earrings-13mm-round-rose-gold,Diamond Touchstone Earrings 13mm Round - Rose Gold,earrings,diamond-touchstone-earrings-13mm-round-rose-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/diamond-shephard-hook-earrings-13mm-circle-yellow-gold,Diamond Shephard Hook Earrings 13mm Circle - Yellow Gold,earrings,diamond-shephard-hook-earrings-13mm-circle-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/diamond-shepherd-hook-earrings-11mm-circle-yellow-gold,Diamond Shepherd Hook Earrings 11mm Circle - Yellow Gold,earrings,diamond-shepherd-hook-earrings-11mm-circle-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/diamond-shepherd-hook-earrings-13mm-circle-white-gold,Diamond Shepherd Hook Earrings 13mm Circle - White Gold,earrings,diamond-shepherd-hook-earrings-13mm-circle-white-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/diamond-shepherd-hook-earrings-11mm-circle-white-gold,Diamond Shepherd Hook Earrings 11mm Circle - White Gold,earrings,diamond-shepherd-hook-earrings-11mm-circle-white-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/lavalier-diamond-earrings-circle-yellow-gold,Lavalier Diamond Earrings Circle - Yellow Gold,earrings,lavalier-diamond-earrings-circle-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/pearls-my-way-ruby-yellow-gold,PEARLS MY WAY RUBY - YELLOW GOLD,earrings,pearls-my-way-ruby-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/dew-drop-earrings-white-gold,Dew Drop Earrings - White Gold,earrings,dew-drop-earrings-white-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/kimberley-earring-enhancer-yellow-gold,Kimberley Earring Enhancer - Yellow Gold,earrings,kimberley-earring-enhancer-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/lavalier-ruby-earrings-yellow-gold,Lavalier Ruby Earrings - Yellow Gold,earrings,lavalier-ruby-earrings-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/lavalier-blue-sapphire-earrings-white-gold,Lavalier Blue Sapphire Earrings - White Gold,earrings,lavalier-blue-sapphire-earrings-white-gold,2021
https://www.paspaley.com/jewellery/pearl-earrings/unique-chandelier-earrings,Unique Chandelier Earrings,earrings,unique-chandelier-earrings,2021
https://www.paspaley.com/jewellery/pearl-earrings/starry-night-earrings-yellow-gold,Starry Night Earrings - Yellow Gold,earrings,starry-night-earrings-yellow-gold,2021
